game_id,seed,winner,loser,timeout,turn_count,phase_count,final_red_shrines_broken,final_iron_shrines_broken,first_shrine_damage_turn,first_shrine_break_turn,first_ancestor_awakened_turn,first_l2_turn,first_l3_turn,red_l2_entered_battlefield,red_l2_hard_cast,red_l2_evolved,red_l3_entered_battlefield,red_l3_hard_cast,red_l3_evolved,iron_l2_entered_battlefield,iron_l2_hard_cast,iron_l2_evolved,iron_l3_entered_battlefield,iron_l3_hard_cast,iron_l3_evolved,legal_evolve_actions_generated_red,legal_evolve_actions_generated_iron,evolve_actions_chosen_red,evolve_actions_chosen_iron,hard_cast_chosen_while_legal_evolve_action_exists_red,hard_cast_chosen_while_legal_evolve_action_exists_iron,hard_cast_chosen_while_evolution_base_exists_red,hard_cast_chosen_while_evolution_base_exists_iron,legal_awaken_actions_generated_red,legal_awaken_actions_generated_iron,awaken_actions_chosen_red,awaken_actions_chosen_iron,awaken_actions_skipped_while_legal_red,awaken_actions_skipped_while_legal_iron,first_awakened_ancestor_red,first_awakened_ancestor_iron,ancestor_switches_red,ancestor_switches_iron,memory_spent_on_ancestors_red,memory_spent_on_ancestors_iron,turns_with_awakened_ancestor_red,turns_with_awakened_ancestor_iron,first_hunter_bonus_damage,grandmother_healing_done,child_draw_discard_triggers,iron_hyena_ancestor_bonus_damage,smith_offering_discount_saved,tooth_mother_bonus_damage,legal_block_options_red,legal_block_options_iron,blocks_chosen_red,blocks_chosen_iron,blocks_declined_red,blocks_declined_iron,pack_units_ready_at_combat_start_red,pack_units_ready_at_combat_start_iron,pack_assault_slots_generated_red,pack_assault_slots_generated_iron,pack_assault_slots_available_red,pack_assault_slots_available_iron,pack_assault_slots_skipped_red,pack_assault_slots_skipped_iron,turns_with_pack_bonus_red,turns_with_pack_bonus_iron,max_attacks_available_this_combat_red,max_attacks_available_this_combat_iron,attacks_prevented_by_assault_limit_red,attacks_prevented_by_assault_limit_iron,prepared_tactics_triggered_red,prepared_tactics_triggered_iron,wounded_events_red,wounded_events_iron,pierce_overflow_events_red,pierce_overflow_events_iron,deck_reshuffles_red,deck_reshuffles_iron
game-123,123,"red","iron",False,24,6,1,3,5,9,7,14,17,3,3,0,1,0,1,1,1,0,0,0,0,2,0,2,0,0,0,9,1,16,1,7,1,0,0,"red.ancestor.grandmother","iron.ancestor.smith",1,0,4,2,8,8,4,2,0,0,1,0,6,0,5,0,0,0,0,6,0,6,0,6,0,1,0,4,24,30,0,0,2,2,5,0,0,0,2,1
game-124,124,"iron","red",False,37,10,3,1,4,5,6,9,,5,3,2,0,0,0,5,1,4,0,0,0,4,8,4,7,3,0,2,2,29,2,13,2,0,0,"red.ancestor.firsthunter","iron.ancestor.smith",4,1,10,4,15,14,9,1,1,1,1,0,2,5,2,4,0,0,0,16,0,16,0,16,0,7,0,10,36,54,0,1,1,3,12,5,0,0,3,3
game-125,125,"red","iron",False,19,5,1,3,4,13,6,9,,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,7,2,8,5,5,3,0,0,"red.ancestor.firsthunter","iron.ancestor.hyena",2,0,6,2,7,2,6,1,0,2,0,0,3,1,2,1,0,0,0,3,0,3,0,3,0,1,0,2,20,21,0,0,0,2,2,2,0,0,1,1
game-126,126,"red","iron",False,24,6,2,3,4,7,5,5,,2,1,1,0,0,0,2,1,1,0,0,0,2,2,2,2,0,0,3,0,11,3,5,3,0,0,"red.ancestor.firsthunter","iron.ancestor.hyena",3,1,8,4,9,9,3,0,2,1,1,0,0,0,0,0,0,0,0,6,0,6,0,6,0,1,0,5,24,30,0,0,1,2,3,1,0,0,2,1
game-127,127,"iron","red",False,23,6,3,0,4,5,8,18,,1,0,1,0,0,0,1,1,0,0,0,0,4,0,4,0,0,0,0,1,19,1,6,1,0,0,"red.ancestor.grandmother","iron.ancestor.hyena",1,0,4,2,7,1,0,1,0,1,0,0,5,0,4,0,0,0,0,7,0,7,0,7,0,1,0,5,22,31,0,0,1,2,3,3,0,0,1,1
game-128,128,"red","iron",False,24,6,1,3,3,6,14,13,22,2,1,1,1,0,1,2,1,1,0,0,0,4,2,4,2,0,0,1,3,10,0,4,0,0,0,"red.ancestor.firsthunter","",1,0,4,0,5,0,2,1,0,0,0,0,12,0,8,0,0,0,0,7,0,7,0,7,0,1,0,6,24,31,0,0,2,3,6,4,0,1,1,1
game-129,129,"red","iron",False,35,9,2,3,3,6,9,11,30,6,2,4,1,0,1,4,1,3,0,0,0,20,6,15,6,0,0,7,2,38,6,12,5,0,0,"red.ancestor.firsthunter","iron.ancestor.hyena",0,2,2,6,13,9,5,0,0,6,0,1,8,2,7,2,0,0,0,10,0,10,0,10,0,3,0,7,36,44,0,0,2,3,10,4,1,0,3,2
game-130,130,"red","iron",False,22,6,1,3,4,5,5,14,22,2,2,0,1,0,1,1,0,1,0,0,0,2,2,1,2,0,0,9,0,7,2,4,1,0,0,"red.ancestor.firsthunter","iron.ancestor.hyena",0,0,2,2,7,8,8,0,0,4,0,0,13,1,5,1,0,0,0,7,0,7,0,7,0,1,0,6,22,29,0,0,2,3,3,0,0,0,1,1
game-131,131,"red","iron",False,25,7,1,3,4,17,5,5,24,4,2,2,1,0,1,3,0,3,0,0,0,6,8,5,7,0,0,8,0,12,1,6,1,0,0,"red.ancestor.firsthunter","iron.ancestor.hyena",4,0,10,2,10,9,7,2,0,3,0,0,4,1,4,1,0,0,0,7,0,7,0,7,0,3,0,6,26,31,0,0,2,3,5,3,0,0,2,1
game-132,132,"iron","red",False,29,8,3,1,4,7,5,5,14,3,2,1,1,0,1,4,1,3,1,0,1,6,8,6,6,0,1,2,0,26,2,11,2,0,0,"red.ancestor.firsthunter","iron.ancestor.hyena",4,0,10,2,11,12,5,2,0,4,0,0,2,1,2,0,0,1,0,11,0,11,0,11,0,3,0,8,28,41,0,0,2,2,7,2,0,0,2,2
