game_id,seed,winner,loser,timeout,turn_count,phase_count,final_red_shrines_broken,final_iron_shrines_broken,first_shrine_damage_turn,first_shrine_break_turn,first_ancestor_awakened_turn,first_l2_turn,first_l3_turn,red_l2_entered_battlefield,red_l2_hard_cast,red_l2_evolved,red_l3_entered_battlefield,red_l3_hard_cast,red_l3_evolved,iron_l2_entered_battlefield,iron_l2_hard_cast,iron_l2_evolved,iron_l3_entered_battlefield,iron_l3_hard_cast,iron_l3_evolved,legal_evolve_actions_generated_red,legal_evolve_actions_generated_iron,evolve_actions_chosen_red,evolve_actions_chosen_iron,hard_cast_chosen_while_legal_evolve_action_exists_red,hard_cast_chosen_while_legal_evolve_action_exists_iron,hard_cast_chosen_while_evolution_base_exists_red,hard_cast_chosen_while_evolution_base_exists_iron,legal_awaken_actions_generated_red,legal_awaken_actions_generated_iron,awaken_actions_chosen_red,awaken_actions_chosen_iron,awaken_actions_skipped_while_legal_red,awaken_actions_skipped_while_legal_iron,first_awakened_ancestor_red,first_awakened_ancestor_iron,ancestor_switches_red,ancestor_switches_iron,memory_spent_on_ancestors_red,memory_spent_on_ancestors_iron,turns_with_awakened_ancestor_red,turns_with_awakened_ancestor_iron,first_hunter_bonus_damage,grandmother_healing_done,child_draw_discard_triggers,iron_hyena_ancestor_bonus_damage,smith_offering_discount_saved,tooth_mother_bonus_damage,legal_block_options_red,legal_block_options_iron,blocks_chosen_red,blocks_chosen_iron,blocks_declined_red,blocks_declined_iron,pack_units_ready_at_combat_start_red,pack_units_ready_at_combat_start_iron,pack_assault_slots_generated_red,pack_assault_slots_generated_iron,pack_assault_slots_available_red,pack_assault_slots_available_iron,pack_assault_slots_skipped_red,pack_assault_slots_skipped_iron,turns_with_pack_bonus_red,turns_with_pack_bonus_iron,max_attacks_available_this_combat_red,max_attacks_available_this_combat_iron,attacks_prevented_by_assault_limit_red,attacks_prevented_by_assault_limit_iron,prepared_tactics_triggered_red,prepared_tactics_triggered_iron,wounded_events_red,wounded_events_iron,pierce_overflow_events_red,pierce_overflow_events_iron,deck_reshuffles_red,deck_reshuffles_iron
game-123,123,"iron-hyena-pack-pressure","passive",False,15,4,3,0,4,10,5,5,,2,2,0,0,0,0,2,0,2,0,0,0,0,4,0,4,0,0,4,0,2,6,1,5,0,0,"red.ancestor.grandmother","iron.ancestor.firstpack",0,0,2,2,1,5,0,0,0,0,0,0,12,0,3,0,5,0,0,12,0,12,0,12,0,6,0,6,14,28,0,0,0,0,0,0,0,0,1,1
game-124,124,"iron-hyena-pack-pressure","passive",False,12,3,3,0,4,7,5,5,,2,2,0,0,0,0,2,0,2,0,0,0,0,4,0,3,0,0,4,0,0,3,0,2,0,0,"","iron.ancestor.firstpack",0,0,0,2,0,3,0,0,0,0,0,0,7,0,0,0,3,0,0,11,0,11,0,11,0,6,0,5,12,23,0,0,0,0,0,0,0,0,0,0
game-125,125,"iron-hyena-pack-pressure","passive",False,45,12,3,0,4,34,14,9,,7,7,0,0,0,0,4,2,2,0,0,0,0,8,0,8,0,0,11,2,30,10,12,7,0,0,"red.ancestor.grandmother","iron.ancestor.firstpack",0,0,2,2,15,11,0,8,0,0,0,0,55,0,7,0,12,0,0,48,0,43,0,43,0,8,0,18,44,89,0,0,1,0,21,9,0,0,4,4
game-126,126,"iron-hyena-pack-pressure","passive",False,10,3,3,0,4,5,5,10,,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,2,0,0,0,0,0,3,0,2,0,0,"","iron.ancestor.firstpack",0,0,0,2,0,2,0,0,0,0,0,0,9,0,0,0,5,0,0,6,0,6,0,6,0,1,0,3,10,16,0,0,0,0,0,0,0,0,0,0
game-127,127,"iron-hyena-pack-pressure","passive",False,13,4,3,0,4,7,7,5,,1,1,0,0,0,0,1,0,1,0,0,0,0,4,0,4,0,0,2,0,0,4,0,2,0,0,"","iron.ancestor.firstpack",0,1,0,4,0,3,0,0,0,0,0,0,11,0,3,0,4,0,0,10,0,10,0,10,0,3,0,6,12,24,0,0,0,0,1,2,0,1,0,0
game-128,128,"iron-hyena-pack-pressure","passive",False,18,5,3,0,4,10,11,10,,2,2,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,2,1,9,3,4,2,0,0,"red.ancestor.grandmother","iron.ancestor.firstpack",0,0,2,2,3,3,0,3,0,0,0,0,15,0,4,0,7,0,0,11,0,11,0,11,0,2,0,6,18,29,0,0,0,0,2,2,0,0,1,1
game-129,129,"iron-hyena-pack-pressure","passive",False,12,3,3,0,4,5,5,7,,2,2,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,4,0,0,4,0,2,0,0,"","iron.ancestor.firstpack",0,0,0,2,0,3,0,0,0,0,0,0,16,0,0,0,5,0,0,6,0,6,0,6,0,1,0,5,12,18,0,0,0,0,0,0,0,0,0,0
game-130,130,"iron-hyena-pack-pressure","passive",False,21,6,3,0,4,5,5,7,,3,3,0,0,0,0,3,0,3,0,0,0,0,8,0,8,0,0,5,0,3,3,1,2,0,0,"red.ancestor.grandmother","iron.ancestor.firstpack",0,0,2,2,2,8,0,2,0,0,0,0,30,0,2,0,5,0,0,20,0,18,0,18,0,6,0,10,20,40,0,0,1,0,7,8,0,0,1,1
game-131,131,"iron-hyena-pack-pressure","passive",False,12,3,3,0,4,5,5,9,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,3,0,0,"","iron.ancestor.firstpack",0,0,0,2,0,3,0,0,0,0,0,0,14,0,0,0,6,0,0,5,0,5,0,5,0,0,0,5,12,17,0,0,0,0,0,0,0,0,0,0
game-132,132,"iron-hyena-pack-pressure","passive",False,13,4,3,0,4,10,5,5,,1,1,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,2,0,0,5,0,3,0,0,"","iron.ancestor.firstpack",0,0,0,2,0,4,0,0,0,0,0,0,13,0,3,0,6,0,0,11,0,11,0,11,0,3,0,6,12,25,0,0,1,0,0,0,0,0,0,0
